,Code,Latitude,Longitude,Elevation,Name,Time Range,Time
202,CA002403053,66.15,-65.7167,24.0,PANGNIRTUNG_A,1995-2008,13 years
203,CA002403200,72.6833,-77.9833,4.0,POND_INLET,1922-1960,38 years
204,CA002403201,72.6833,-77.9667,62.0,POND_INLET_A,1975-2013,38 years
205,CA002403204,72.7,-77.95,65.0,POND_INLET_CLIMATE,2004-2021,17 years
206,CA002403206,72.6833,-77.9667,62.0,POND_INLET,1978-2021,43 years
207,CA002403450,75.3833,-105.7167,15.0,REA_POINT,1969-2020,51 years
208,CA002403490,66.5167,-86.2167,23.0,REPULSE_BAY_A,1973-2013,40 years
209,CA002403500,74.7167,-94.9667,68.0,RESOLUTE_CARS,1947-2021,74 years
210,CA002403505,74.7167,-94.9833,30.0,RESOLUTE_CS,1948-2021,73 years
211,CA002403600,61.3,-64.8833,39.0,RESOLUTION_ISLAND,1929-1970,41 years
212,CA002403602,61.6,-64.6333,369.0,RESOLUTION_ISLAND,1931-2021,90 years
213,CA002403625,69.0833,-79.0333,41.0,ROWLEY_ISLAND,1957-2021,64 years
214,CA002403756,73.7667,-105.3,11.0,STEFANSSON_ISLAND,2002-2021,19 years
215,CA002403800,69.5333,-93.5167,12.0,SPENCE_BAY,1951-1989,38 years
216,CA002403854,69.55,-93.5833,27.0,TALOYOAK_A,1984-2014,30 years
217,CA002403945,65.8833,-89.45,18.0,WAGER_BAY_AUT,1994-2021,27 years
218,CA002500440,74.1333,-119.9833,32.0,AULAVIK_NATIONAL_PARK,1996-2021,25 years
219,CA002502500,70.7333,-117.7833,9.0,HOLMAN,1941-1989,48 years
220,CA002502501,70.7667,-117.8,36.0,ULUKHAKTOK_A,1979-2013,34 years
221,CA002502505,70.7667,-117.8,30.0,HOLMAN_CS,2000-2021,21 years
222,CA002502700,76.2333,-119.3333,12.0,MOULD_BAY_A,1948-2013,65 years
223,CA002503648,72.0,-125.25,88.0,SACHS_HARBOUR_CLIMATE,1973-2021,48 years
224,CA002503650,72.0,-125.2667,86.0,SACHS_HARBOUR_A,1955-2008,53 years
225,CA002503886,73.2333,-119.5333,42.0,THOMSEN_RIVER,1997-2021,24 years
226,CA00250M001,76.2333,-119.35,2.0,MOULD_BAY_CS,1999-2021,22 years
227,CA007111080,61.0833,-69.55,73.0,CAPE_HOPES_ADVANCE,1928-1971,43 years
228,CA007116270,61.05,-69.6333,30.0,QUAQTAQ,1971-1987,16 years
229,CAXLT660207,63.8,-68.6,0.0,FROBISHER_BAY,1942-2001,59 years
230,CAXLT991150,68.93,-116.92,18.0,CAPE_YOUNG_ANW,1957-1993,36 years
231,DAM00006011,62.016999999999996,-6.767,61.0,TORSHAVN,1867-2021,154 years
232,FI000000304,60.1667,24.95,4.0,HELSINKI_KAISANIEMI_AWS,1829-2021,192 years
233,FI000002401,62.4019,25.6783,139.0,JYVASKYLA_LENTOASEMA,1951-2021,70 years
234,FI000002963,60.8139,23.5006,104.0,JOKIOINEN_JOKIOISTEN_OBSERVATO,1957-2021,64 years
235,FI000007501,67.3678,26.6328,179.0,SODANKYLA_AWS,1906-2021,115 years
236,FIE00007672,65.0192,24.7314,8.0,HAILUOTO_OJAKYLA,1959-2014,55 years
237,FIE00007731,65.8881,24.2744,8.0,TORNIO_LIAKKA,1969-2014,45 years
238,FIE00141805,60.1244,19.9067,5.0,JOMALA_MAARIANHAMINAN_LENTOASE,1959-2021,62 years
239,FIE00141819,60.3,19.1331,3.0,MARKET_STORBY,1963-2014,51 years
240,FIE00141855,60.1781,19.9894,11.0,JOMALA_JOMALABY,1962-2021,59 years
241,FIE00141864,60.3008,19.135,3.0,HAMMARLAND_MARKET,1963-2021,58 years
242,FIE00141870,60.3,20.75,3.0,KUMLINGE_BARO,1984-2014,30 years
243,FIE00141884,60.3939,21.9464,5.0,NAANTALI_RAULA,1959-2014,55 years
244,FIE00141890,60.1117,21.7028,4.0,PARAINEN_FAGERHOLM,1993-2021,28 years
245,FIE00141895,60.1542,19.8753,9.0,JOMALA_SODERSUNDA,1962-2014,52 years
246,FIE00141909,60.2581,20.7506,23.0,KUMLINGE_KIRKONKYLA,1984-2021,37 years
247,FIE00141935,60.3867,22.5544,6.0,KAARINA_YLTOINEN,1959-2021,62 years
