,Code,Elevation,Latitude,Longitude,Name,Time,Time Range,Unnamed: 0
276,NOE00134214,521.0,61.1217,9.0631,LOKEN_I_VOLBU,60 years,1961-2021,705.0
277,NOE00134538,51.0,61.7881,6.1833,SANDANE,64 years,1957-2021,710.0
278,NOE00134554,60.0,61.8292,6.1042,SANDANE_LUFTHAVN,58 years,1963-2021,711.0
279,NOE00134682,18.0,64.4014,10.455,BUHOLMRASA_FYR,56 years,1965-2021,712.0
280,NOE00134742,5.0,63.8467,8.4667,SULA,66 years,1955-2021,713.0
281,NOE00134754,28.0,63.85,8.4667,SULA_FYR,60 years,1954-2014,714.0
282,NOE00134934,6.0,69.8333,21.8842,NORDSTRAUM_I_KVAENANGEN,56 years,1965-2021,719.0
283,NOM00001089,91.0,69.733,29.9,KIRKENES,95 years,1918-2013,721.0
284,NOM00001238,952.0,62.1167,9.2831,FOKSTUA,98 years,1923-2021,724.0
285,NON00006020,185.0,60.6141,12.0125,FLISA_II,93 years,1919-2012,732.0
286,NON00008850,485.0,62.0277,10.8017,ALVDAL,54 years,1920-1974,740.0
287,NON00012640,271.0,61.0808,10.4756,LILLEHAMMER_III,90 years,1891-1981,746.0
288,NON00025720,996.0,60.5186,7.825,HAUGASTOL_II,82 years,1894-1976,763.0
289,NON00050300,408.0,60.3933,5.9133,KVAMSKOGEN,59 years,1947-2006,770.0
290,NON00050460,48.0,60.26,5.3533,FANA_FORSOKSSTASJON,57 years,1955-2012,771.0
291,NON00052290,114.0,60.841,5.9533,MODALEN_II,67 years,1945-2012,780.0
292,NON00053100,51.0,61.1725,6.6455,VANGSNES,91 years,1921-2012,782.0
293,NON00053380,870.0,60.7333,7.1167,MYRDAL,57 years,1897-1954,783.0
294,NON00054100,3.0,61.1,7.4833,LARDAL,78 years,1869-1947,785.0
295,NON00055160,27.0,61.5,7.7005,FORTUN,76 years,1921-1997,788.0
296,NON00055230,2062.0,61.5158,7.9058,FANNARAKI,81 years,1931-2012,789.0
297,NON00055350,484.0,61.4407,7.4278,LUSTER_SANATORIUM,72 years,1901-1973,790.0
298,NON00055780,53.0,61.1833,6.8667,LEIKANGER,61 years,1929-1990,794.0
299,NON00057170,3.0,61.45,5.85,FORDE_I_SUNNFJORD,66 years,1919-1985,795.0
300,NON00058700,201.0,61.9333,7.2267,OPPSTRYN,94 years,1897-1991,801.0
301,NON00059100,38.0,62.0346,4.9859,KRAKENES_FYR,87 years,1925-2012,804.0
302,NON00060950,6.0,62.4755,6.1508,ALESUND,71 years,1861-1932,811.0
303,NON00062650,26.0,62.9667,7.15,HUSTAD_II,58 years,1921-1979,816.0
304,NON00063500,195.0,62.55,9.1,SUNNDAL,80 years,1897-1977,818.0
305,NON00065100,9.0,63.2066,8.991,VINJEORA_II,85 years,1920-2005,821.0
306,NON00071650,4.0,63.85,9.7333,VALLERSUND,53 years,1921-1974,836.0
307,NON00073470,402.0,64.4619,13.5916,NORDLI_III,67 years,1920-1987,838.0
308,NON00075600,47.0,65.0975,11.7022,LEKA,62 years,1940-2002,841.0
309,NON00076500,6.0,65.8667,12.1833,SKALVAR,60 years,1920-1980,843.0
310,NON00077640,221.0,65.6,13.9833,HATTFJELLDAL_III,67 years,1905-1972,848.0
311,NON00080610,17.0,66.7628,12.486,MYKEN,92 years,1920-2012,855.0
312,NON00082400,14.0,67.4257,13.9246,HELLIGVAR,69 years,1943-2012,867.0
313,NON00083120,6.0,67.8333,14.7833,GROTOY,58 years,1920-1978,869.0
314,NON00085950,18.0,67.4102,11.8731,SKOMVAR_FYR,88 years,1890-1978,876.0
315,NON00087400,17.0,68.9448,16.6551,SANDSOY_I_SENJA,56 years,1921-1977,881.0
316,NON00088900,12.0,69.3538,18.075,GIBOSTAD,55 years,1936-1991,886.0
317,NON00091350,46.0,69.3777,20.3024,SKIBOTN,64 years,1948-2012,893.0
318,NON00092700,10.0,70.3348,21.4528,LOPPA,79 years,1920-1999,894.0
319,NON00094700,33.0,71.0633,26.23,HELNES_FYR,53 years,1951-2004,898.0
320,NON00099370,89.0,69.7255,29.8977,KIRKENES_LUFTHAVN,55 years,1957-2012,903.0
321,NON00099550,8.0,69.6833,30.1333,SOR_VARANGER,54 years,1871-1925,905.0
322,NOXLT285749,9999.0,70.0,23.2,ALTA,68 years,1871-1939,907.0
323,NOXLT451881,9999.0,65.6,12.3,BRONNOYSUND,85 years,1870-1955,909.0
324,NOXLT921787,995.0,60.3,7.5,HAUGASTOL,92 years,1884-1976,913.0
325,RS000020357,9.0,76.183,63.567,RUSSKAYA_GAVAN,63 years,1932-1995,916.0
326,RS000020696,20.0,73.65,109.75,CAPE_KASISTY,51 years,1939-1990,917.0
327,RS000020766,10.0,72.333,79.5,LESKINO,59 years,1934-1993,918.0
328,RS000021405,15.0,75.533,113.517,B_PRONCHISHCHEVOY,58 years,1934-1992,919.0
329,RS000021825,3.0,71.533,129.917,MOSTAKH_ISLAND,64 years,1935-1999,921.0
330,RSM00020046,22.0,80.6,58.0,POLAR_GMO_IMETKRENKELJ,63 years,1958-2021,923.0
331,RSM00020069,10.0,79.5,76.98,OSTROV_VIZE,76 years,1945-2021,924.0
332,RSM00020087,7.0,79.55,90.62,OSTROV_GOLOMJANNYJ,91 years,1930-2021,925.0
333,RSM00020274,23.0,77.5,82.2,OSTROV_UEDINENIJA,61 years,1935-1996,926.0
334,RSM00020289,9.0,77.2,96.4,RUSSKIJ,63 years,1936-1999,927.0
335,RSM00020292,12.0,77.72,104.3,GMO_IMEKFEDOROVA,89 years,1932-2021,928.0
336,RSM00020353,10.0,76.85,68.55,MYS_ZELANIJA,84 years,1931-2015,929.0
337,RSM00020471,12.0,75.952,82.946,TROYNOY_ISLAND,60 years,1953-2013,930.0
338,RSM00020476,10.0,75.42,88.9,STERLEGOVA,87 years,1934-2021,931.0
339,RSM00020667,6.0,73.33,70.0294,BELY_ISLAND,87 years,1934-2021,932.0
340,RSM00020871,6.0,71.875,82.706,SOPOCHNAYA_KARGA,60 years,1939-1999,935.0
341,RSM00020891,31.0,71.9831,102.4667,HATANGA,93 years,1928-2021,936.0
342,RSM00020967,17.8,70.167,72.517,SEYAHA,60 years,1961-2021,938.0
343,RSM00020982,37.0,70.97,94.5,VOLOCHANKA,85 years,1936-2021,940.0
344,RSM00021432,12.0,76.0,137.87,OSTROV_KOTELNYJ,85 years,1936-2021,942.0
345,RSM00021504,57.0,74.667,112.933,OSTROV_PREOBRAZENIJ,62 years,1934-1996,943.0
346,RSM00021636,26.0,73.333,139.917,CAPE_KIGILYAKH,87 years,1934-2021,945.0
347,RSM00021647,21.0,73.18,143.2297,SHALAUROVA_MYS,72 years,1928-2000,946.0
348,RSM00021802,16.0,71.97,114.08,SASKYLAH,85 years,1936-2021,949.0
349,RSM00021824,6.0,71.58,128.9197,TIKSI,89 years,1932-2021,951.0
350,RSM00021908,61.0,70.1297,113.97,DZALINDA_1,79 years,1942-2021,952.0
351,RSM00021931,23.0,70.77,136.22,JUBILEJNAJA,87 years,1934-2021,954.0
352,RSM00021946,44.0,70.6167,147.8831,CHOKURDAH,77 years,1944-2021,955.0
353,RSM00021965,41.0,70.633,162.483,OSTROV_CHETYREHSTOL,62 years,1933-1995,956.0
354,RSM00021982,2.0,70.9831,-178.4833,OSTROV_VRANGELJA,95 years,1926-2021,957.0
355,RSM00022019,32.0,69.2,33.4797,POLJARNOE,83 years,1936-2019,959.0
356,RSM00022095,23.0,69.53,49.08,KOLGUEV_SEVERNYI,85 years,1933-2018,961.0
357,RSM00022101,99.0,69.0,28.8,JANISKOSKI,60 years,1959-2019,962.0
358,RSM00022106,63.0,68.6,31.85,PADUN,62 years,1959-2021,963.0
359,RSM00022127,162.0,68.0,35.033,LOVOZERO,69 years,1952-2021,965.0
360,RSM00022204,246.0,67.5697,30.45,KOVDOR,60 years,1959-2019,968.0
361,RSM00022212,132.0,67.967,32.883,MONCEGORSK,52 years,1969-2021,969.0
362,RSM00022235,155.0,67.37,37.03,KRASNOSHELYE,89 years,1932-2021,971.0
363,RSM00022249,149.0,67.1297,39.67,KANEVKA,60 years,1959-2019,972.0
364,RSM00022271,18.0,67.9,44.1,SOJNA,63 years,1958-2021,974.0
365,RSM00022282,6.0,67.8,46.667,MYS_MIKULKIN,58 years,1960-2018,975.0
366,RSM00022292,4.0,67.7,48.77,INDIGA,98 years,1923-2021,976.0
367,RSM00022312,18.0,66.7,32.883,KOVDA,52 years,1969-2021,977.0
368,RSM00022324,39.0,66.67,34.33,UMBA,85 years,1936-2021,978.0
369,RSM00022349,9.0,66.183,39.533,PJALICA,72 years,1949-2021,980.0
370,RSM00022365,21.0,66.383,43.25,ABRAMOVSKIJ_MAJAK,59 years,1962-2021,982.0
371,RSM00022408,118.0,65.2,31.17,UKHTA_KALEVALA,85 years,1936-2021,984.0
372,RSM00022438,26.0,65.2,36.82,ZHIZHGIN_MAYAK,85 years,1936-2021,986.0
373,RSM00022446,77.0,65.467,39.733,ZIMNEGORSKIJ_MAJAK,57 years,1964-2021,987.0
374,RSM00022471,14.0,65.87,44.22,MEZEN,84 years,1937-2021,988.0
375,RSM00022522,8.0,64.95,34.65,KEM,69 years,1937-2006,990.0
376,RSM00022525,9.0,64.566,34.917,RAZNAVOLOK,71 years,1950-2021,991.0
377,RSM00022563,31.0,64.7,43.383,PINEGA,72 years,1949-2021,995.0
378,RSM00022573,71.0,64.9,45.767,LESUKONSKOE,60 years,1961-2021,996.0
379,RSM00022619,130.0,63.27,33.42,PADANY,55 years,1966-2021,999.0
380,RSM00022621,112.0,63.767,34.283,SEGEZA,69 years,1950-2019,1000.0
381,RSM00022676,62.0,63.6,45.6,SURA,71 years,1950-2021,1006.0
382,RSM00022695,158.0,63.45,48.9,KOSLAN,61 years,1960-2021,1007.0
383,RSM00022721,81.0,62.917,34.433,MEDVEZEGORSK,72 years,1949-2021,1008.0
384,RSM00022762,34.0,62.867,42.717,DVINSKIJ_BEREZNIK,57 years,1964-2021,1010.0
385,RSM00022778,58.0,62.233,45.017,VERHNJAJA_TOJMA,62 years,1959-2021,1012.0
386,RSM00022798,92.0,62.167,49.117,JARENSK,61 years,1960-2021,1013.0
387,RSM00022831,44.0,61.8,36.517,PUDOZ,71 years,1950-2021,1016.0
388,RSM00022854,233.0,61.7,40.2,NJANDOMA,72 years,1949-2021,1019.0
389,RSM00022867,91.0,61.083,42.067,VELSK,60 years,1961-2021,1020.0
390,RSM00022892,14.0,60.72,28.8,VYBORG,81 years,1940-2021,1022.0
391,RSM00022912,12.0,60.983,32.983000000000004,OLONEC,62 years,1959-2021,1024.0
392,RSM00022925,111.0,60.633,34.783,VINNICY,61 years,1960-2021,1025.0
393,RSM00022939,131.0,60.033,37.783,BELOZERSK,72 years,1949-2021,1026.0
394,RSM00022954,202.0,60.467,40.2,VOZEGA,72 years,1949-2021,1027.0
395,RSM00022981,98.0,60.8,46.3,VELIKIJ_USTJUG,84 years,1937-2021,1028.0
396,RSM00023022,53.0,69.75,61.7,AMDERMA,87 years,1934-2021,1030.0
397,RSM00023058,2.0,69.08,76.9,ANTIPAJUTA,62 years,1959-2021,1032.0
398,RSM00023114,5.0,68.55,55.5,MYS_KONSTANTINOVSKII,60 years,1959-2019,1035.0
399,RSM00023205,5.0,67.6331,53.0331,NARJAN_MAR,95 years,1926-2021,1039.0
400,RSM00023219,84.0,67.0831,59.3831,HOSEDA_HARD,85 years,1931-2016,1040.0
401,RSM00023220,113.0,67.05,64.0697,ELEZKAJA,60 years,1959-2019,1041.0
402,RSM00023226,172.0,67.483,64.016,VORKUTA,62 years,1959-2021,1042.0
403,RSM00023242,12.0,67.6994,72.9494,NOVY_PORT,85 years,1936-2021,1043.0
404,RSM00023256,26.0,67.47,78.73,TAZOVSKOE,85 years,1936-2021,1044.0
405,RSM00023274,20.0,67.47,86.57,IGARKA,85 years,1936-2021,1045.0
406,RSM00023305,20.0,66.25,52.583,OKUNEV_NOS,61 years,1960-2021,1046.0
407,RSM00023331,895.0,66.9,65.67,RA_IZ,58 years,1939-1997,1049.0
408,RSM00023345,5.0,66.5997,72.9,NYDA,71 years,1948-2019,1051.0
409,RSM00023383,277.0,66.8797,93.47,AGATA,81 years,1939-2020,1053.0
410,RSM00023412,77.0,65.97,56.9194,UST_USA,85 years,1936-2021,1055.0
411,RSM00023418,53.0,65.1167,57.1,PECHORA,78 years,1943-2021,1056.0
412,RSM00023426,19.0,65.382,64.717,MUZI,60 years,1961-2021,1057.0
413,RSM00023445,14.0,65.47,72.67,NADYM,62 years,1959-2021,1059.0
414,RSM00023463,41.0,65.98,84.27,JANOV_STAN,58 years,1959-2017,1060.0
415,RSM00023514,156.0,64.52,55.4,IRAEL,60 years,1959-2019,1065.0
416,RSM00023518,75.0,64.266,57.617,UST_SUGOR,71 years,1950-2021,1066.0
417,RSM00023527,28.0,64.28,60.88,SARAN_PAUL,85 years,1936-2021,1067.0
418,RSM00023552,26.0,64.92,77.82,TARKO_SALE,85 years,1936-2021,1068.0
419,RSM00023589,105.0,64.2,93.78,TUTONCHANY,60 years,1959-2019,1069.0
420,RSM00023606,137.0,63.55,53.817,UHTA,62 years,1959-2021,1070.0
421,RSM00023625,28.0,63.65,62.1,SOSVA,52 years,1969-2021,1071.0
422,RSM00023656,66.0,63.38,78.32,HALESOVAJA,62 years,1957-2019,1074.0
423,RSM00023662,31.0,63.98,82.08,TOLKA,74 years,1947-2021,1075.0
424,RSM00023707,106.0,62.23,50.42,UST_VUM,60 years,1959-2019,1078.0
425,RSM00023724,51.0,62.43,60.8694,NJAKSIMVOL,88 years,1933-2021,1080.0
426,RSM00023734,70.0,62.45,66.05,OKTYABR_SKOYE,85 years,1936-2021,1081.0
427,RSM00023803,144.0,61.683,53.683,UST_KULOM,71 years,1950-2021,1085.0
428,RSM00023847,33.4,61.3,71.3,SYTOMINO,52 years,1969-2021,1087.0
429,RSM00023867,55.0,61.1,80.25,LARYAK,85 years,1936-2021,1090.0
430,RSM00023884,62.0,61.6,90.0167,BOR,87 years,1934-2021,1091.0
431,RSM00023891,256.0,61.6667,96.3667,BAJKIT,87 years,1934-2021,1092.0
432,RSM00023904,124.0,60.45,50.97,KOIGORODOK,60 years,1959-2019,1093.0
433,RSM00023909,198.0,60.283,54.35,GAJNY,52 years,1969-2021,1094.0
434,RSM00023921,93.0,60.6831,60.45,IVDEL,87 years,1934-2021,1096.0
435,RSM00023929,53.0,60.317,64.217,SAIM,52 years,1969-2021,1097.0
436,RSM00023946,47.0,60.5,74.02,UGUT,76 years,1943-2019,1100.0
437,RSM00023955,47.0,60.4331,77.8667,ALEKSANDROVSKOE,89 years,1932-2021,1101.0
438,RSM00023966,98.0,60.35,84.08,VANZIL_KYNAK,66 years,1955-2021,1102.0
439,RSM00023975,86.0,60.35,88.367,SYM,52 years,1969-2021,1104.0
440,RSM00023986,513.0,60.38,93.03,SEVERO_ENISEJSK,80 years,1941-2021,1105.0
441,RSM00023987,58.0,60.25,90.233,JARCEVO,52 years,1969-2021,1106.0
442,RSM00024076,282.0,69.33,139.6697,DEPUTATSKIJ,59 years,1960-2019,1108.0
443,RSM00024105,272.0,68.47,102.37,ESSEJ,57 years,1937-1994,1109.0
444,RSM00024125,217.0,68.5,112.4331,OLENEK,85 years,1936-2021,1110.0
445,RSM00024136,78.0,68.62,118.33,SUHANA,83 years,1938-2021,1111.0
446,RSM00024143,38.0,68.73,124.0,DZARDZAN,84 years,1937-2021,1112.0
447,RSM00024329,233.0,66.25,114.28,SELAGONCY,81 years,1940-2021,1115.0
448,RSM00024343,88.0,66.7667,123.4,ZHIGANSK,85 years,1936-2021,1116.0
449,RSM00024371,274.0,66.8,136.68,UST_CHARKY,53 years,1966-2019,1117.0
450,RSM00024382,195.0,66.45,143.2297,UST_MOMA,84 years,1937-2021,1118.0
451,RSM00024507,188.0,64.2667,100.2331,TURA,93 years,1928-2021,1119.0
452,RSM00024538,137.0,64.23,116.92,CHUMPURUK,64 years,1955-2019,1120.0
453,RSM00024585,523.0,64.566,143.2,UST_NERA,60 years,1961-2021,1123.0
454,RSM00024606,209.0,63.58,103.97,KISLOKAN,70 years,1951-2021,1125.0
455,RSM00024639,119.0,63.283,118.333,NJURBA,73 years,1948-2021,1126.0
456,RSM00024643,76.0,63.95,124.83,HATYRYK_HOMO,61 years,1957-2018,1128.0
457,RSM00024652,96.0,63.967,127.467,SANGARY,71 years,1950-2021,1129.0
458,RSM00024656,79.0,63.517,129.483,BATAMAJ,72 years,1949-2021,1130.0
459,RSM00024661,208.0,64.0,130.3,SEGEN_KYUEL,83 years,1938-2021,1131.0
460,RSM00024671,399.0,63.95,135.87,TOMPO,62 years,1959-2021,1133.0
461,RSM00024679,1286.0,63.22,139.6,VOSTOCHNAJA,77 years,1942-2019,1134.0
462,RSM00024688,740.0,63.25,143.15,OJMJAKON,91 years,1930-2021,1135.0
463,RSM00024713,246.0,62.88,108.43,NAKANNO,78 years,1943-2021,1136.0
464,RSM00024726,351.0,62.5,113.9,MIRNYJ,61 years,1959-2020,1138.0
465,RSM00024738,131.0,62.15,117.65,SUNTAR,88 years,1933-2021,1139.0
466,RSM00024763,119.0,62.8,134.4,KREST_HALDZHAY,53 years,1966-2019,1141.0
467,RSM00024768,186.0,62.033,132.6,CURAPCA,73 years,1948-2021,1142.0
468,RSM00024790,646.0,62.78,148.17,SUSUMAN,84 years,1937-2021,1144.0
469,RSM00024802,357.0,61.7,102.7,STRELKA_CHUNJA,83 years,1936-2019,1145.0
470,RSM00024817,284.0,61.2667,108.0167,ERBOGACEN,85 years,1936-2021,1147.0
471,RSM00024856,115.0,61.483,129.15,POKROVSKAJA,73 years,1948-2021,1150.0
472,RSM00024908,259.0,60.3331,102.2667,VANAVARA,89 years,1932-2021,1152.0
473,RSM00024918,292.0,60.067,107.967,PREOBRAZENKA,61 years,1960-2021,1153.0
474,RSM00024923,241.0,60.72,114.88,LENSK,81 years,1940-2021,1154.0
475,RSM00024933,247.0,60.95,119.3,KILEER,60 years,1959-2019,1155.0
476,RSM00024951,117.0,60.8167,125.3167,ISIT,85 years,1936-2021,1157.0
477,RSM00024962,146.0,60.9,131.983,AMGA,73 years,1948-2021,1159.0
478,RSM00024967,173.0,60.47,130.0,TEGJULTJA,79 years,1942-2021,1161.0
479,RSM00024982,396.0,60.72,142.78,UEGA,62 years,1959-2021,1162.0
480,RSM00024988,198.0,60.083,142.333,ARKA,72 years,1949-2021,1163.0
481,RSM00025034,24.0,69.62,162.3,BUHTA_AMBARCIK,86 years,1935-2021,1164.0
482,RSM00025042,13.0,69.93,167.98,OSTROV_AION,76 years,1943-2019,1165.0
483,RSM00025062,2.0,69.8797,175.77,MYS_BILLINGSA,84 years,1937-2021,1166.0
484,RSM00025123,28.0,68.75,161.283,CHERSKIJ,81 years,1940-2021,1167.0
485,RSM00025138,98.0,68.12,164.17,OSTROVNOE,85 years,1936-2021,1168.0
486,RSM00025173,2.0,68.9,-179.3669,MYS_SHMIDTA,81 years,1932-2013,1169.0
487,RSM00025206,20.0,67.45,153.72,SREDHEKOLYMSK,85 years,1936-2021,1170.0
488,RSM00025248,352.0,67.25,168.97,ILIRNEJ,77 years,1944-2021,1171.0
489,RSM00025282,3.0,67.83,-175.8,MYS_VANKAREM,87 years,1934-2021,1172.0
490,RSM00025325,127.0,66.55,159.42,UST_OLOJ,77 years,1936-2013,1173.0
491,RSM00025356,78.0,66.3797,173.33,ENMUVEEM,75 years,1946-2021,1174.0
492,RSM00025378,21.0,66.3497,-179.1,EGVEKINOT,72 years,1949-2021,1176.0
493,RSM00025400,41.0,65.73,150.9,ZYRJANKA,85 years,1936-2021,1178.0
494,RSM00025428,260.0,65.23,160.53,OMOLON,77 years,1944-2021,1179.0
495,RSM00025503,97.0,64.75,153.97,KORKODON,85 years,1936-2021,1180.0
496,RSM00025538,324.0,64.22,164.23,VERHNEE_PENZINO,57 years,1959-2016,1181.0
497,RSM00025594,25.0,64.4167,-173.2333,BUHTA_PROVIDENJA,87 years,1934-2021,1184.0
498,RSM00025621,682.0,64.0,158.92,KEDON,55 years,1945-2000,1185.0
499,RSM00025677,3.0,63.05,179.32,BERINGOVSKAJA,56 years,1957-2013,1187.0
500,RSM00025703,206.0,62.9167,152.4167,SEJMCHAN,88 years,1933-2021,1188.0
501,RSM00025705,264.0,62.45,152.32,SREDNEKAN,66 years,1955-2021,1189.0
502,RSM00025715,542.0,62.5,155.783,OMSUKCHAN,62 years,1959-2021,1190.0
503,RSM00025744,10.0,62.4831,166.2167,KAMENSKOE,71 years,1950-2021,1191.0
504,RSM00025777,4.0,62.4,179.1,GAVRIILA_BUHTA,59 years,1936-1995,1193.0
505,RSM00025922,34.0,60.72,155.88,SHELIHOVO,59 years,1960-2019,1195.0
506,RSM00025932,45.0,60.68,160.4,TAJGONOS,64 years,1949-2013,1196.0
507,RSM00025954,2.0,60.35,166.0,KORF,83 years,1929-2012,1197.0
508,RSM00025956,3.0,60.43,169.67,APUKA,85 years,1936-2021,1198.0
509,RSXLT306544,9999.0,67.33,168.23,ILIRNEJ,69 years,1944-2013,1200.0
510,RSXLT353655,6.0,76.8,110.8,OSTROV_ANDREYAFORMER,57 years,1942-1999,1201.0
511,RSXLT413954,10.0,76.2667,94.2833,OSTROV_PRAUDY,53 years,1942-1995,1202.0
512,RSXLT643936,31.0,67.47,-174.62,OSTROV_KOLYUCHIN,51 years,1941-1992,1208.0
513,RSXLT850030,4.0,70.08,170.97,BALKARKAY,58 years,1941-1999,1213.0
514,RSXLT860513,51.0,81.8,57.9667,OSTROV_RUDOLFA,63 years,1932-1995,1215.0
515,RSXLT973997,4.0,69.7,170.33,PEVEK,59 years,1940-1999,1219.0
516,SV000020107,49.0,78.1,14.3,BARENCBURG,89 years,1932-2021,1222.0
517,SW000002120,314.0,66.9597,17.73,KVIKKJOKK_ARRENJARKA,96 years,1917-2013,1223.0
518,SW000002288,6.0,63.595,20.7564,HOLMOGADD_A,84 years,1924-2008,1226.0
519,SW000021280,280.0,65.0072,17.7083,GUNNARN,65 years,1949-2014,1230.0
520,SWE00003535,40.0,64.4808,21.5792,BJUROKLUBB_A,53 years,1961-2014,1233.0
521,SWE00115961,4.0,62.5244,17.4408,SUNDSVALLS_FLYGPLATS,66 years,1955-2021,1240.0
522,SWE00115981,215.0,63.6842,16.9506,JUNSELE,51 years,1963-2014,1241.0
523,SWE00116061,168.0,67.2097,23.3928,PAJALA,53 years,1961-2014,1243.0
524,SWE00136405,140.0,60.48,15.43,BORLANGE_AUT,53 years,1961-2014,1245.0
525,SWE00137188,9.0,65.75,21.77,SAVAST_V,54 years,1961-2015,1265.0
526,SWE00137203,458.0,65.8078,15.0853,HEMAVAN_FLYGPLATS,56 years,1965-2021,1266.0
527,SWE00137338,330.0,66.77,20.97,NATTAVARA,53 years,1961-2014,1270.0
528,SWE00137470,537.0,68.43,18.28,VASSIJAURE,91 years,1923-2014,1273.0
529,SWE00139254,80.0,60.14,13.01,TORSBY,52 years,1961-2013,1276.0
530,SWE00139276,190.0,60.15,13.8,GUSTAVSFORS,70 years,1951-2021,1280.0
531,SWE00139286,15.0,60.18,18.23,RISINGE,58 years,1962-2020,1283.0
532,SWE00139294,33.0,60.2,17.9164,DANNEMORA,51 years,1963-2014,1285.0
533,SWE00139308,12.0,60.28,18.92,UNDERSTEN,63 years,1951-2014,1288.0
534,SWE00139324,160.0,60.31,12.7,OSTMARK_LAMBACKEN,58 years,1955-2013,1290.0
535,SWE00139346,260.0,60.38,15.23,IDKERBERGET,65 years,1945-2010,1295.0
536,SWE00139348,495.0,60.38,15.14,SPANSBERGET,57 years,1964-2021,1296.0
537,SWE00139362,152.0,60.4292,15.5078,BORLANGE_FLYGPLATS,60 years,1961-2021,1297.0
538,SWE00139376,145.0,60.5,15.46,BORLANGE,53 years,1961-2014,1300.0
539,SWE00139386,128.0,60.5,15.45,DOMNARVET,53 years,1961-2014,1301.0
540,SWE00139396,8.0,60.53,18.38,ORSKAR_A,69 years,1952-2021,1303.0
541,SWE00139458,175.0,60.73,15.02,LEKSAND,58 years,1963-2021,1309.0
542,SWE00139462,5.0,60.73,17.57,EGGEGRUND,69 years,1952-2021,1310.0
543,SWE00139468,5.0,60.75,17.35,UTVALNAS,51 years,1963-2014,1311.0
544,SWE00139498,230.0,60.91,12.58,HOLJES,61 years,1960-2021,1313.0
545,SWE00139520,196.0,60.96,14.51,MORA_A,70 years,1951-2021,1315.0
546,SWE00139522,162.0,60.9617,16.4308,AMOT_A,55 years,1966-2021,1316.0
547,SWE00139524,145.0,60.96,16.46,AMOTSBRUK,53 years,1961-2014,1317.0
548,SWE00139526,196.0,61.0,14.59,MORA,63 years,1951-2014,1318.0
549,SWE00139590,412.0,61.28,12.86,GRUNDFORSEN,67 years,1945-2012,1324.0
550,SWE00139604,177.0,61.38,15.84,EDSBYN,63 years,1951-2014,1326.0
551,SWE00139674,115.0,61.71,16.18,JARVSO,59 years,1962-2021,1334.0
552,SWE00139676,10.0,61.73,17.1,HUDIKSVALL,69 years,1952-2021,1335.0
553,SWE00139684,70.0,61.83,16.54,DELSBO_A,55 years,1966-2021,1337.0
554,SWE00139690,670.0,61.85,12.27,FLOTNINGEN,56 years,1958-2014,1339.0
555,SWE00139764,260.0,62.18,14.95,YTTERHOGDAL,60 years,1961-2021,1348.0
556,SWE00139774,17.0,62.22,17.7397,BRAMON,60 years,1961-2021,1349.0
557,SWE00139800,430.0,62.42,13.52,HEDE,66 years,1945-2011,1353.0
558,SWE00139802,410.0,62.41,13.67,HEDEVIKEN,59 years,1962-2021,1354.0
559,SWE00139822,99.0,62.49,16.28,TORPSHAMMAR_A,51 years,1970-2021,1356.0
560,SWE00139828,110.0,62.5,16.18,FRANSTA,69 years,1945-2014,1358.0
561,SWE00139832,99.0,62.52,16.21,FRANSTA_11,52 years,1962-2014,1359.0
562,SWE00139842,585.0,62.55,12.6,LJUSNEDAL,91 years,1930-2021,1361.0
563,SWE00139858,10.0,62.62,18.0597,HARNO,53 years,1961-2014,1363.0
564,SWE00139868,17.0,62.64,18.09,LUNGO,60 years,1961-2021,1364.0
565,SWE00139884,342.0,62.75,15.1,HUNGE,53 years,1961-2014,1366.0
566,SWE00139886,343.0,62.75,15.09,HUNGE_A,52 years,1969-2021,1367.0
567,SWE00139942,5.0,63.05,17.77,KRAMFORS_GISTGARDSON,52 years,1961-2013,1376.0
568,SWE00139950,592.0,63.08,13.75,HOGLEKARDALEN,59 years,1962-2021,1377.0
569,SWE00139962,120.0,63.14,16.9897,FORSE,65 years,1956-2021,1379.0
570,SWE00139968,183.0,63.16,16.17,KRANGEDE_A,56 years,1965-2021,1380.0
571,SWE00139970,320.0,63.15,14.37,NORDERON,60 years,1961-2021,1381.0
572,SWE00139974,30.0,63.17,17.66,LANNAS,56 years,1961-2017,1382.0
573,SWE00139992,375.0,63.19,14.49,FROSON_D,96 years,1918-2014,1384.0
574,SWE00140002,360.0,63.24,14.55,ROSTA,96 years,1918-2014,1385.0
575,SWE00140006,583.0,63.28,12.12,STORLIEN_STORVALLEN,53 years,1961-2014,1386.0
576,SWE00140062,108.0,63.41,19.0,ORNSKOLDSVIKS_FLYGPL,51 years,1970-2021,1393.0
577,SWE00140110,232.0,63.6,16.18,STORFINNFORSEN,57 years,1961-2018,1397.0
578,SWE00140134,214.0,63.685,16.9531,JUNSELE_A,58 years,1963-2021,1402.0
579,SWE00140148,375.0,63.73,15.5,HALLVIKEN,61 years,1953-2014,1403.0
580,SWE00140174,14.0,63.79,20.29,UMEA_FLYGPLATS,59 years,1962-2021,1407.0
581,SWE00140180,10.0,63.81,20.24,ROBACKSDALEN,52 years,1962-2014,1409.0
582,SWE00140230,615.0,64.0,14.67,ALMDALEN,57 years,1964-2021,1418.0
