Code,Latitude,Longitude,Elevation,Name
CA002403600,61.3,-64.8833,39.0,RESOLUTION_ISLAND
CA002403602,61.6,-64.6333,369.0,RESOLUTION_ISLAND
CA002403625,69.0833,-79.0333,41.0,ROWLEY_ISLAND
CA002403756,73.7667,-105.3,11.0,STEFANSSON_ISLAND
CA002403800,69.5333,-93.5167,12.0,SPENCE_BAY
CA002403854,69.55,-93.5833,27.0,TALOYOAK_A
CA002403945,65.8833,-89.45,18.0,WAGER_BAY_AUT
CA002500440,74.1333,-119.9833,32.0,AULAVIK_NATIONAL_PARK
CA002502500,70.7333,-117.7833,9.0,HOLMAN
CA002502501,70.7667,-117.8,36.0,ULUKHAKTOK_A
CA002502505,70.7667,-117.8,30.0,HOLMAN_CS
CA002502700,76.2333,-119.3333,12.0,MOULD_BAY_A
CA002503648,72.0,-125.25,88.0,SACHS_HARBOUR_CLIMATE
CA002503650,72.0,-125.2667,86.0,SACHS_HARBOUR_A
CA002503886,73.2333,-119.5333,42.0,THOMSEN_RIVER
CA00250M001,76.2333,-119.35,2.0,MOULD_BAY_CS
CA007111080,61.0833,-69.55,73.0,CAPE_HOPES_ADVANCE
CA007116270,61.05,-69.6333,30.0,QUAQTAQ
CAXLT660207,63.8,-68.6,0.0,FROBISHER_BAY
CAXLT991150,68.93,-116.92,18.0,CAPE_YOUNG_ANW
DAM00006011,62.017,-6.767,61.0,TORSHAVN
FI000000304,60.1667,24.95,4.0,HELSINKI_KAISANIEMI_AWS
FI000002401,62.4019,25.6783,139.0,JYVASKYLA_LENTOASEMA
FI000002963,60.8139,23.5006,104.0,JOKIOINEN_JOKIOISTEN_OBSERVATO
FI000007501,67.3678,26.6328,179.0,SODANKYLA_AWS
FIE00007672,65.0192,24.7314,8.0,HAILUOTO_OJAKYLA
FIE00007731,65.8881,24.2744,8.0,TORNIO_LIAKKA
FIE00141805,60.1244,19.9067,5.0,JOMALA_MAARIANHAMINAN_LENTOASE
FIE00141819,60.3,19.1331,3.0,MARKET_STORBY
FIE00141855,60.1781,19.9894,11.0,JOMALA_JOMALABY
FIE00141864,60.3008,19.135,3.0,HAMMARLAND_MARKET
FIE00141870,60.3,20.75,3.0,KUMLINGE_BARO
FIE00141884,60.3939,21.9464,5.0,NAANTALI_RAULA
FIE00141890,60.1117,21.7028,4.0,PARAINEN_FAGERHOLM
FIE00141895,60.1542,19.8753,9.0,JOMALA_SODERSUNDA
FIE00141909,60.2581,20.7506,23.0,KUMLINGE_KIRKONKYLA
FIE00141935,60.3867,22.5544,6.0,KAARINA_YLTOINEN
FIE00141940,60.4167,22.4331,26.0,PIIKKIO_TUORLA
FIE00141945,60.4667,22.0331,16.0,NAANTALI_KESKUSTA
FIE00141974,60.3831,22.55,28.0,PIIKKIO_YLTOINEN_VERTAILUAS
FIE00141980,60.1331,22.45,31.0,DRAGSFJARD_SKINNARVIK
FIE00141985,60.1531,22.5608,7.0,KEMIONSAARI_LOVBOLE
FIE00142004,60.45,22.2831,57.0,TURKU_KUPITTAA
FIE00142010,60.4542,22.1817,8.0,TURKU_ARTUKAINEN
FIE00142015,60.1714,22.7606,13.0,KEMIONSAARI_KEMIO_KK
FIE00142020,60.4,23.7667,84.0,SUOMUSJARVI_KETTULA
FIE00142030,60.1,23.5331,8.0,POHJA_POHJANKURU
FIE00142035,60.3733,23.1158,3.0,SALO_KARKKA
FIE00142055,60.3239,23.71,69.0,SALO_SUOMUSJARVI
FIE00142074,60.4631,23.6525,117.0,SALO_KIIKALA_LENTOKENTTA
FIE00142080,60.3269,24.9603,51.0,VANTAA_HELSINKI_VANTAAN_LENTOA
FIE00142090,60.1,24.9167,5.0,HELSINKI_KATAJALUOTO
FIE00142096,60.1831,24.8331,2.0,ESPOO_OTANIEMI
FIE00142101,60.2,24.9167,47.0,HELSINKI_ILMALA
FIE00142106,60.2439,24.0525,37.0,LOHJA_PORLA
FIE00142111,60.2667,24.9667,14.0,HELSINGIN_MLK_TAMMISTO
FIE00142116,60.4183,24.4017,42.0,VIHTI_MAASOJA
FIE00142151,60.2206,24.6042,20.0,ESPOO_NUPURI
FIE00142185,60.1044,24.9783,3.0,HELSINKI_HARMAJA
FIE00142226,60.2028,24.9642,24.0,HELSINKI_KUMPULA
FIE00142230,60.2075,24.7442,31.0,ESPOO_SEPANKYLA
FIE00142235,60.1714,24.9478,3.0,HELSINKI_RAUTATIENTORI
FIE00142241,60.2531,25.0481,15.0,HELSINKI_MALMIN_LENTOASEMA
FIE00142246,60.1331,25.0,10.0,VALLISAARI
FIE00142251,60.2167,25.0331,8.0,HELSINKI_VIIKIN_KOETILA
FIE00142256,60.2831,25.0667,20.0,VANTAA_TIKKURILA
FIE00142261,60.3667,24.9831,49.0,TUUSULA_RUOTSINKYLA
FIE00142266,60.4056,25.6589,17.0,PORVOO_JERNBOLE
FIE00142271,60.4167,25.0331,45.0,TUUSULA_HYRYLA
FIE00142276,60.4667,25.0831,50.0,JARVENPAA
FIE00142296,60.2,25.0831,22.0,HELSINKI_MARJANIEMI
FIE00142305,60.2033,25.6283,20.0,PORVOO_EMASALO
FIE00142311,60.1042,25.0708,4.0,HELSINKI_ISOSAARI
FIE00142320,60.2,25.0494,5.0,HELSINKI_HERTTONIEMI
FIE00142326,60.3681,25.6267,10.0,PORVOO_LEHTIMAKI
FIE00142331,60.3914,25.6114,22.0,PORVOO_HARABACKA
FIE00142341,60.3753,26.9617,9.0,KOTKA_RANKKI
FIE00142356,60.4217,26.3692,4.0,RUOTSINPYHTAA_KEITALA
FIE00142361,60.3667,26.4,4.0,RUOTSINPYHTAA_REIMARS
