,Code,Elevation,Latitude,Longitude,Name,Time,Time Range,Correlation1,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Correlation10,Correlation11,Correlation12
47,FIE00142080,51,60.3269,24.9603,VANTAA_HELSINKI_VANTAAN_LENTOA,192 years,1829-2021,0.5160768,0.405818097,0.194455773,-0.00868508,-0.017031773,0.384447944,0.275001172,0.379378426,0.286022526,0.379601316,0.040044031,0.118876966
48,FIE00142090,5,60.1,24.9167,HELSINKI_KATAJALUOTO,185 years,1829-2014,0.517334143,0.449362901,0.397267684,0.301584255,0.035539576,0.148372493,0.283433389,0.246364069,0.341144533,0.475961616,0.039991019,0.10576068
49,FIE00142096,2,60.1831,24.8331,ESPOO_OTANIEMI,185 years,1829-2014,0.455858081,0.276313073,0.302918861,0.12653238,0.083564824,0.380770289,0.433632356,0.48312772,0.476985223,0.457071299,0.123704116,0.005762026
50,FIE00142111,14,60.2667,24.9667,HELSINGIN_MLK_TAMMISTO,185 years,1829-2014,0.563675324,0.381027255,0.257711526,0.075710803,0.002433355,0.338412137,0.322090597,0.486890897,0.340070868,0.340551573,0.043663285,0.127149307
51,FIE00142185,3,60.1044,24.9783,HELSINKI_HARMAJA,192 years,1829-2021,0.613684811,0.339474823,0.343642589,0.385334772,0.150965295,0.147504509,0.290234851,0.42503467,0.301178298,0.491732992,0.094602532,0.104686773
52,FIE00142226,24,60.2028,24.9642,HELSINKI_KUMPULA,192 years,1829-2021,0.395840651,0.311474322,0.395722251,0.134988383,0.111975385,0.37223779,0.418290086,0.386406618,0.279556987,0.356361983,0.132404282,-0.030016108
53,FIE00142235,3,60.1714,24.9478,HELSINKI_RAUTATIENTORI,186 years,1829-2015,0.395840651,0.311474322,0.395722251,0.134988383,0.111975385,0.37223779,0.418290086,0.386406618,0.279556987,0.356361983,0.132404282,-0.030016108
54,FIE00142241,15,60.2531,25.0481,HELSINKI_MALMIN_LENTOASEMA,192 years,1829-2021,0.566143432,0.392080201,0.24477911,0.064145069,-0.002440715,0.281435643,0.337367633,0.459773593,0.220324145,0.352232248,0.033573583,0.143378841
55,FIE00142246,10,60.1331,25,VALLISAARI,185 years,1829-2014,0.427543502,0.488408945,0.343640834,0.13461384,0.136705167,0.080348102,0.435514721,0.336706927,0.242053934,0.472863361,0.081978071,0.078655932
56,FIE00142251,8,60.2167,25.0331,HELSINKI_VIIKIN_KOETILA,185 years,1829-2014,0.573674819,0.435953932,0.350968738,0.137003452,0.059013272,0.341405184,0.327821619,0.425156295,0.236206646,0.4470059,0.08988128,0.116400335
57,FIE00142296,22,60.2,25.0831,HELSINKI_MARJANIEMI,185 years,1829-2014,0.574914099,0.417662417,0.289465972,0.072902926,-0.009882424,0.3440826,0.349736941,0.429049074,0.272652538,0.320504363,0.107383613,-0.0017628
58,FIE00142311,4,60.1042,25.0708,HELSINKI_ISOSAARI,185 years,1829-2014,0.722774668,0.422808511,0.34789639,0.366984726,0.221233123,0.268146975,0.315678215,0.259515166,0.273124476,0.450290031,0.048383792,0.1553112
59,FIE00142320,5,60.2,25.0494,HELSINKI_HERTTONIEMI,185 years,1829-2014,0.537139963,0.362476997,0.257103079,0.167598026,-0.013365565,0.29191983,0.423891964,0.435769146,0.289733533,0.454445094,0.083747345,0.168561566
60,FIE00145436,132,64.2831,27.6667,KAJAANI_LENTOASEMA,128 years,1886-2014,0.356287234,-0.231160182,0.572151965,0.05358678,0.181544806,-0.428587562,-0.156438219,0.532127793,0.316821818,0.474024676,0.261016031,0.269256177
61,FIE00145672,10,64.9375,25.3756,OULUNSALO_PELLONPAA,245 years,1776-2021,0.718688757,0.426943394,0.327199,-0.131998351,0.214824889,-0.473908614,0.224566692,0.464071634,-0.152709416,0.617691785,-0.468735441,0.504310614
62,GL000004250,80,64.1667,-51.75,NUUK,155 years,1866-2021,0.445380459,0.364384908,0.200300223,0.306308516,0.502153433,0.405299396,0.451977077,0.404702663,0.176340341,0.020640954,-0.181699218,0.210630207
63,GL000004360,50,65.5997,-37.6331,TASIILAQ,126 years,1895-2021,0.114212503,0.434189803,0.458155689,0.305931216,0.581565958,0.37838004,0.717443023,0.061996557,0.087149031,0.257175947,0.266614222,0.002412954
64,GLE00100981,39,69.2167,-51.05,ILULISSAT_JAKOBSHAVN,147 years,1866-2013,0.561094897,0.543256694,0.34491921,0.219632554,0.339537468,0.275634248,0.604780075,0.003615835,0.166110719,-0.032392725,0.082676587,0.279218853
65,GLE00100992,29,69.2331,-51.0667,ILULISSAT_MITTARFIK,143 years,1877-2020,0.502596154,0.560565659,0.346025508,0.263992954,0.363857419,0.300897834,0.598930064,0.021826404,0.197476643,-0.021520623,0.099304798,0.224936783
66,GLE00146901,120,72.7831,-56.1667,UPERNAVIK,139 years,1873-2012,0.316585951,0.230042775,0.170720556,0.225340696,0.261880729,0.241920057,0.548654422,0.300964051,0.309980116,0.282690491,0.380706688,0.172043576
67,GLE00146961,39,69.22,-51.1,ILULISSAT,135 years,1877-2012,0.420841511,0.568653532,0.3877207,0.243139584,0.316388233,0.215358938,0.547840631,-0.001067548,0.149017691,-0.067402495,0.111732473,0.21376336
