,Code,Correlation1,Correlation10,Correlation11,Correlation12,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Elevation,Latitude,Longitude,Name,Time,Unnamed: 0
35,CA002301102,0.11223221544974804,0.5452979977463229,0.24410804514910686,0.5585587244258173,0.15616466673901214,0.5052199867881946,0.4348880199451303,0.3252599184610595,0.3990590921488796,0.4230417047793862,0.19963260934744345,0.3612952393547376,353.0,61.1333,-100.8833,ENNADAI_LAKE_AUT,64 years,136.0
36,CA002302370,0.2274955567811864,0.5245012733210499,0.5026169792217988,0.3397962694945572,0.6113819949268644,0.09308773222807257,0.00845875461985358,0.5501687467774594,0.28052996148432596,0.2550557974367898,0.6412263997229418,0.5757861999361361,36.0,68.3167,-100.0833,HAT_ISLAND,62 years,141.0
37,CA002303685,0.035347583357010014,0.5258323608866052,0.5657244012095971,0.4225494170619055,0.1437327128713195,0.014273545754140169,0.1515525056868304,0.47916540291602,0.4307450400215104,0.2932508733480844,0.4532975692599868,0.5402945890883788,43.0,68.8167,-93.4333,SHEPHERD_BAY_A,64 years,150.0
38,CA002400300,-0.15974454844272265,0.0934275421906512,0.16406909821341295,0.14769522350835174,0.07376683186217525,0.2298904145240491,0.22206159766277805,0.1552882917415608,0.15449714178831486,0.18796018601751815,0.17532093349844266,0.24161121820324255,30.0,82.5167,-62.2833,ALERT,56 years,154.0
39,CA002400306,-0.07296076934464607,0.09497225048437866,0.1924206653036316,0.2034312418103737,0.004656643940448838,0.11166305441052507,0.1117765107571916,0.2043969730844868,0.1951545085271226,0.2208667224962133,0.20833635563276015,0.06396446541010767,65.0,82.5,-62.3333,ALERT_UA,56 years,156.0
40,CA002400400,0.37653665362083055,0.14213808499487926,0.4811963058973083,-0.2314175905460984,0.19297709500070329,0.07795986234548015,-0.12403592042349768,0.3592193149422402,0.3860928044604188,0.3954791772467859,0.2985908749040129,0.16762085088764128,22.0,73.0333,-85.15,ARCTIC_BAY,65 years,157.0
41,CA002400565,0.4742648629748144,0.492290515057208,0.4945621721465144,0.3008619386271908,0.07532686955007331,0.24028011394830484,0.183160233595376,0.4150180351318463,0.4370612780430075,0.423999122408413,0.6470701721203126,0.7283632680392117,376.0,63.3333,-64.15,BREVOORT_ISLAND,62 years,159.0
42,CA002400570,0.277967626441297,0.6493724799812858,0.3262578884474531,0.2662983092711479,0.09560327119756744,0.15639738847234935,0.0707336530067766,0.24601520637390645,0.5256563068035754,0.4421648929305096,0.4293037830065787,0.3325542348967929,584.0,67.5333,-63.7833,FOX_FIVE,63 years,160.0
43,CA002400600,0.2102530546267263,0.28860518316251466,0.3714022632923106,0.2138541239391714,0.17234888289849173,0.099946604355528,0.1492267938484284,0.4226895455374245,0.5409294946650811,0.4540956521805274,0.4749179602191265,0.4733425236774004,31.0,69.1,-105.1333,CAMBRIDGE_BAY_A,92 years,165.0
44,CA002400602,0.17693239146588616,0.3012558722677662,0.34815820320378144,0.30297987485834976,0.13341962736457988,0.0754267634102944,0.09241286269956583,0.4595236724536149,0.5321206185773049,0.4551975333469652,0.5510762859464674,0.4646753716104909,19.0,69.1,-105.1333,CAMBRIDGE_BAY_GSN,80 years,166.0
