,Code,Elevation,Latitude,Longitude,Name,Time,Time Range
207,RSM00023849,55,61.25,73.5,SURGUT,137 years,1884-2021
208,RSM00023867,55,61.1,80.25,LARYAK,85 years,1936-2021
209,RSM00023884,62,61.6,90.0167,BOR,87 years,1934-2021
210,RSM00023891,256,61.6667,96.3667,BAJKIT,87 years,1934-2021
211,RSM00023914,208,60.4,56.52,CHERDYN,133 years,1888-2021
212,RSM00023921,93,60.6831,60.45,IVDEL,87 years,1934-2021
213,RSM00023933,46,61.0167,69.1167,HANTY_MANSIJSK,129 years,1892-2021
214,RSM00023946,47,60.5,74.02,UGUT,76 years,1943-2019
215,RSM00023955,47,60.4331,77.8667,ALEKSANDROVSKOE,89 years,1932-2021
216,RSM00023986,513,60.38,93.03,SEVERO_ENISEJSK,80 years,1941-2021
217,RSM00024125,217,68.5,112.4331,OLENEK,85 years,1936-2021
218,RSM00024136,78,68.62,118.33,SUHANA,83 years,1938-2021
219,RSM00024143,38,68.73,124,DZARDZAN,84 years,1937-2021
220,RSM00024266,136,67.5667,133.4,VERHOJANSK,136 years,1885-2021
221,RSM00024329,233,66.25,114.28,SELAGONCY,81 years,1940-2021
222,RSM00024343,88,66.7667,123.4,ZHIGANSK,85 years,1936-2021
223,RSM00024382,195,66.45,143.2297,UST_MOMA,84 years,1937-2021
224,RSM00024507,188,64.2667,100.2331,TURA,93 years,1928-2021
225,RSM00024639,119,63.283,118.333,NJURBA,73 years,1948-2021
226,RSM00024641,110,63.7831,121.6167,VILJUJSK,123 years,1898-2021
227,RSM00024656,79,63.517,129.483,BATAMAJ,72 years,1949-2021
228,RSM00024661,208,64,130.3,SEGEN_KYUEL,83 years,1938-2021
229,RSM00024679,1286,63.22,139.6,VOSTOCHNAJA,77 years,1942-2019
230,RSM00024688,740,63.25,143.15,OJMJAKON,91 years,1930-2021
231,RSM00024713,246,62.88,108.43,NAKANNO,78 years,1943-2021
232,RSM00024738,131,62.15,117.65,SUNTAR,88 years,1933-2021
233,RSM00024768,186,62.033,132.6,CURAPCA,73 years,1948-2021
234,RSM00024790,646,62.78,148.17,SUSUMAN,84 years,1937-2021
235,RSM00024802,357,61.7,102.7,STRELKA_CHUNJA,83 years,1936-2019
236,RSM00024817,284,61.2667,108.0167,ERBOGACEN,85 years,1936-2021
237,RSM00024856,115,61.483,129.15,POKROVSKAJA,73 years,1948-2021
238,RSM00024908,259,60.3331,102.2667,VANAVARA,89 years,1932-2021
239,RSM00024923,241,60.72,114.88,LENSK,81 years,1940-2021
240,RSM00024944,223,60.4,120.4167,OLEKMINSK,139 years,1882-2021
241,RSM00024951,117,60.8167,125.3167,ISIT,85 years,1936-2021
242,RSM00024959,98,62.0167,129.7167,JAKUTSK,192 years,1829-2021
243,RSM00024962,146,60.9,131.983,AMGA,73 years,1948-2021
244,RSM00024966,169,60.3831,134.4497,UST_MAJA,128 years,1893-2021
245,RSM00024967,173,60.47,130,TEGJULTJA,79 years,1942-2021
246,RSM00024988,198,60.083,142.333,ARKA,72 years,1949-2021
247,RSM00025034,24,69.62,162.3,BUHTA_AMBARCIK,86 years,1935-2021
248,RSM00025042,13,69.93,167.98,OSTROV_AION,76 years,1943-2019
249,RSM00025062,2,69.8797,175.77,MYS_BILLINGSA,84 years,1937-2021
250,RSM00025123,28,68.75,161.283,CHERSKIJ,81 years,1940-2021
251,RSM00025138,98,68.12,164.17,OSTROVNOE,85 years,1936-2021
252,RSM00025173,2,68.9,-179.3669,MYS_SHMIDTA,81 years,1932-2013
253,RSM00025206,20,67.45,153.72,SREDHEKOLYMSK,85 years,1936-2021
254,RSM00025248,352,67.25,168.97,ILIRNEJ,77 years,1944-2021
255,RSM00025282,3,67.83,-175.8,MYS_VANKAREM,87 years,1934-2021
256,RSM00025325,127,66.55,159.42,UST_OLOJ,77 years,1936-2013
257,RSM00025356,78,66.3797,173.33,ENMUVEEM,75 years,1946-2021
258,RSM00025378,21,66.3497,-179.1,EGVEKINOT,72 years,1949-2021
259,RSM00025399,5,66.17,-169.8,MYS_UELEN,103 years,1918-2021
260,RSM00025400,41,65.73,150.9,ZYRJANKA,85 years,1936-2021
261,RSM00025428,260,65.23,160.53,OMOLON,77 years,1944-2021
262,RSM00025503,97,64.75,153.97,KORKODON,85 years,1936-2021
263,RSM00025551,25,64.6831,170.4167,MARKOVO,127 years,1894-2021
264,RSM00025563,64,64.7831,177.5667,ANADYR,123 years,1898-2021
265,RSM00025594,25,64.4167,-173.2333,BUHTA_PROVIDENJA,87 years,1934-2021
266,RSM00025703,206,62.9167,152.4167,SEJMCHAN,88 years,1933-2021
267,RSM00025932,45,60.68,160.4,TAJGONOS,64 years,1949-2013
268,RSM00025954,2,60.35,166,KORF,83 years,1929-2012
269,RSM00025956,3,60.43,169.67,APUKA,85 years,1936-2021
270,RSXLT306544,9999,67.33,168.23,ILIRNEJ,69 years,1944-2013
271,SV000020107,49,78.1,14.3,BARENCBURG,89 years,1932-2021
272,SW000002120,314,66.9597,17.73,KVIKKJOKK_ARRENJARKA,96 years,1917-2013
273,SW000002127,325,65.0667,17.1664,STENSELE,113 years,1891-2004
274,SW000002196,5,65.8269,24.1439,HAPARANDA,154 years,1860-2014
275,SW000002288,6,63.595,20.7564,HOLMOGADD_A,84 years,1924-2008
276,SW000002361,15,62.6331,17.9331,HARNOSAND,162 years,1859-2021
277,SW000002410,308,60.6814,13.6994,MALUNG,100 years,1916-2016
278,SW000010537,160,60.6167,15.6167,FALUN,161 years,1860-2021
279,SW000021280,280,65.0072,17.7083,GUNNARN,65 years,1949-2014
280,SWE00100026,376,63.1831,14.4831,OESTERSUND,139 years,1882-2021
281,SWE00137470,537,68.43,18.28,VASSIJAURE,91 years,1923-2014
