,Code,Latitude,Longitude,Elevation,Name
219,RSM00024671,63.95,135.87,399.0,TOMPO
220,RSM00024679,63.22,139.6,1286.0,VOSTOCHNAJA
221,RSM00024688,63.25,143.15,740.0,OJMJAKON
222,RSM00024713,62.88,108.43,246.0,NAKANNO
223,RSM00024724,63.03,112.5,422.0,CHERNISHEVSKIJ
224,RSM00024726,62.5,113.9,351.0,MIRNYJ
225,RSM00024738,62.15,117.65,131.0,SUNTAR
226,RSM00024739,62.283,119.85,308.0,CHAINGDA
227,RSM00024763,62.8,134.4,119.0,KREST_HALDZHAY
228,RSM00024768,62.033,132.6,186.0,CURAPCA
229,RSM00024771,62.783,136.85,289.0,TEPLYJKLYUCH
230,RSM00024790,62.78,148.17,646.0,SUSUMAN
231,RSM00024802,61.7,102.7,357.0,STRELKA_CHUNJA
232,RSM00024807,61.328,100.476,332.0,MUTORAJ
233,RSM00024817,61.2667,108.0167,284.0,ERBOGACEN
234,RSM00024826,61.617,114.617,354.0,DOROZHNYJ
235,RSM00024843,61.917,124.55,199.0,TONGULAH
236,RSM00024856,61.483000000000004,129.15,115.0,POKROVSKAJA
237,RSM00024871,61.867,135.5,141.0,OHOTSKIJPEREVOZ
238,RSM00024908,60.3331,102.2667,259.0,VANAVARA
239,RSM00024918,60.067,107.96700000000001,292.0,PREOBRAZENKA
240,RSM00024923,60.72,114.88,241.0,LENSK
241,RSM00024933,60.95,119.3,247.0,KILEER
242,RSM00024944,60.4,120.4167,223.0,OLEKMINSK
243,RSM00024951,60.8167,125.3167,117.0,ISIT
244,RSM00024959,62.0167,129.7167,98.0,JAKUTSK
245,RSM00024962,60.9,131.983,146.0,AMGA
246,RSM00024966,60.3831,134.4497,169.0,UST_MAJA
247,RSM00024967,60.47,130.0,173.0,TEGJULTJA
248,RSM00024982,60.72,142.78,396.0,UEGA
249,RSM00024988,60.083,142.333,198.0,ARKA
250,RSM00025034,69.62,162.3,24.0,BUHTA_AMBARCIK
251,RSM00025042,69.93,167.98,13.0,OSTROV_AION
252,RSM00025062,69.8797,175.77,2.0,MYS_BILLINGSA
253,RSM00025123,68.75,161.283,28.0,CHERSKIJ
254,RSM00025138,68.12,164.17,98.0,OSTROVNOE
255,RSM00025173,68.9,-179.3669,2.0,MYS_SHMIDTA
256,RSM00025206,67.45,153.72,20.0,SREDHEKOLYMSK
257,RSM00025248,67.25,168.97,352.0,ILIRNEJ
258,RSM00025282,67.83,-175.8,3.0,MYS_VANKAREM
259,RSM00025325,66.55,159.42,127.0,UST_OLOJ
260,RSM00025356,66.3797,173.33,78.0,ENMUVEEM
261,RSM00025372,67.0,-178.9,139.0,AMGUEMA
262,RSM00025378,66.3497,-179.1,21.0,EGVEKINOT
263,RSM00025399,66.17,-169.8,5.0,MYS_UELEN
264,RSM00025400,65.73,150.9,41.0,ZYRJANKA
265,RSM00025428,65.23,160.53,260.0,OMOLON
266,RSM00025503,64.75,153.97,97.0,KORKODON
267,RSM00025538,64.22,164.23,324.0,VERHNEE_PENZINO
268,RSM00025551,64.6831,170.4167,25.0,MARKOVO
269,RSM00025563,64.7831,177.5667,64.0,ANADYR
270,RSM00025594,64.4167,-173.2333,25.0,BUHTA_PROVIDENJA
271,RSM00025621,64.0,158.92,682.0,KEDON
272,RSM00025656,63.4,172.7,200.0,BEREZOVO_1
273,RSM00025677,63.05,179.32,3.0,BERINGOVSKAJA
274,RSM00025703,62.9167,152.4167,206.0,SEJMCHAN
275,RSM00025705,62.45,152.32,264.0,SREDNEKAN
276,RSM00025715,62.5,155.783,542.0,OMSUKCHAN
277,RSM00025744,62.4831,166.2167,10.0,KAMENSKOE
278,RSM00025767,62.05,175.2,11.0,HATYRKA
279,RSM00025777,62.4,179.1,4.0,GAVRIILA_BUHTA
280,RSM00025821,61.95,158.967,23.0,NAJAHAN
281,RSM00025922,60.72,155.88,34.0,SHELIHOVO
282,RSM00025932,60.68,160.4,45.0,TAJGONOS
283,RSM00025954,60.35,166.0,2.0,KORF
284,RSM00025956,60.43,169.67,3.0,APUKA
285,RSXLT110838,80.83,79.7,47.0,OSTROV_USHAKOVA
286,RSXLT306544,67.33,168.23,9999.0,ILIRNEJ
287,RSXLT353655,76.8,110.8,6.0,OSTROV_ANDREYAFORMER
288,RSXLT413954,76.2667,94.2833,10.0,OSTROV_PRAUDY
289,RSXLT437938,72.87,140.75,6.0,MYS_SUYATYY_NOS
290,RSXLT510384,74.88,142.2,10.0,ZEMLYA_BUNGE
291,RSXLT618521,64.42,-172.25,5.0,CHAPLINO
292,RSXLT637512,68.73,158.73,15.0,KOLYMSKAYA
293,RSXLT643936,67.47,-174.62,31.0,OSTROV_KOLYUCHIN
294,RSXLT676609,78.62,98.7,8.0,OSTRAVA_KRASNOPLOTSK
295,RSXLT699046,70.4,58.8,11.0,WAIGATZ
296,RSXLT738182,60.0,29.8,20.0,KRONSTADT
297,RSXLT740860,60.5,169.6,10.0,APUKA_USSR_ASIA
298,RSXLT850030,70.08,170.97,4.0,BALKARKAY
299,RSXLT854187,70.6667,154.15,2.0,ALAZEYA
300,RSXLT860513,81.8,57.9667,51.0,OSTROV_RUDOLFA
301,RSXLT886728,73.5167,75.7667,41.0,OSTROV_VILKITSKOVO
302,RSXLT887675,60.167,130.19899999999998,171.0,TEGJULTJE_TERDE
303,RSXLT896839,71.1333,66.8167,11.0,KHARASOVOY
304,RSXLT973997,69.7,170.33,4.0,PEVEK
305,SV000020026,80.167,36.75,9.0,VIKTORIYA_ISLAND
